№  	Дата/время      	Температура 	Осадки (мм) 
1  	2026-05-11T00:00	7.2         	0.00        
2  	2026-05-11T01:00	7.1         	0.00        
3  	2026-05-11T02:00	6.9         	0.00        
4  	2026-05-11T03:00	6.8         	0.00        
5  	2026-05-11T04:00	6.6         	0.00        
6  	2026-05-11T05:00	6.7         	0.00        
7  	2026-05-11T06:00	7.5         	0.00        
8  	2026-05-11T07:00	8.2         	0.00        
9  	2026-05-11T08:00	8.6         	0.00        
10 	2026-05-11T09:00	8.1         	0.20        
11 	2026-05-11T10:00	7.9         	0.90        
12 	2026-05-11T11:00	7.6         	1.90        
13 	2026-05-11T12:00	7.9         	2.20        
14 	2026-05-11T13:00	8.1         	1.60        
15 	2026-05-11T14:00	9.0         	0.30        
16 	2026-05-11T15:00	9.8         	0.10        
17 	2026-05-11T16:00	11.1        	0.00        
18 	2026-05-11T17:00	12.2        	0.00        
19 	2026-05-11T18:00	12.6        	0.00        
20 	2026-05-11T19:00	12.3        	0.00        
21 	2026-05-11T20:00	11.4        	0.00        
22 	2026-05-11T21:00	10.7        	0.00        
23 	2026-05-11T22:00	10.4        	0.00        
24 	2026-05-11T23:00	10.1        	0.00 
